tier,strategy_id,adapter_function,execution_status,readiness_status,parity_status,bet_count,window_size,fixture_size,period_count,output_shape,all_outputs_valid,deterministic,db_opened,production_registry_imported,blocked_reason,notes,outputs_json
p356_baseline,biglotto_deviation_2bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_echo_aware_3bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_triple_strike,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_ts3_markov_4bet_w30,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,4,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,cold_complement_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,1,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,coldpool15_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,fourier30_markov30_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,markov_2bet_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,markov_single_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,1,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,ts3_regime_3bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p358_parity_acceptable,biglotto_p0_2bet,adapt_biglotto_p0_2bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,2,520,520,1,1x2x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[7,8,10,24,27,37],[12,18,19,20,21,45]]]"
p358_parity_acceptable,predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_2bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,2,520,520,1,1x2x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[6,8,10,14,40,47],[12,18,20,23,39,43]]]"
p358_parity_acceptable,predict_biglotto_echo_phase2,adapt_predict_biglotto_echo_phase2_2bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,2,520,520,1,1x2x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[10,14,22,36,40,47],[12,18,20,23,39,43]]]"
p358_parity_acceptable,predict_biglotto_echo_phase2,adapt_predict_biglotto_echo_phase2_3bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,3,520,520,1,1x3x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[10,14,22,36,40,47],[12,18,20,23,39,43],[15,16,19,28,35,46]]]"
p358_parity_acceptable,predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_mixed_3bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,3,520,520,1,1x3x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[6,8,10,14,40,47],[12,18,20,23,39,43],[15,22,28,35,36,41]]]"
p358_shape_safety_only,biglotto_zonal_pruning,adapt_biglotto_zonal_pruning,EXECUTED_NO_DB,READY_SHAPE_SAFETY_ONLY,SHAPE_SAFETY_ONLY,4,520,520,1,1x4x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring. Shape/safety-only row; not parity replay evidence.,"[[[7,8,24,29,40,42],[6,10,15,25,36,40],[27,31,37,40,44,48],[4,12,17,24,28,31]]]"
p358_shape_safety_only,biglotto_5bet_orthogonal,adapt_biglotto_5bet_orthogonal,EXECUTED_NO_DB,READY_SHAPE_SAFETY_ONLY,SHAPE_SAFETY_ONLY,5,520,520,1,1x5x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring. Shape/safety-only row; not parity replay evidence.,"[[[10,12,28,44,46,47],[2,13,20,35,45,49],[1,3,8,24,37,40],[5,6,29,30,36,42],[9,16,17,25,27,41]]]"
p358_shape_safety_only,predict_biglotto_regime,adapt_predict_biglotto_regime_3bet,EXECUTED_NO_DB,READY_SHAPE_SAFETY_ONLY,SHAPE_SAFETY_ONLY,3,520,520,1,1x3x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring. Shape/safety-only row; not parity replay evidence.,"[[[10,12,28,44,46,47],[2,13,20,35,45,49],[1,3,8,24,37,40]]]"
p358_shape_safety_only,biglotto_10bet_combined,adapt_biglotto_10bet_combined,EXECUTED_NO_DB,READY_SHAPE_SAFETY_ONLY,SHAPE_SAFETY_ONLY,10,520,520,1,1x10x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring. Shape/safety-only row; not parity replay evidence.,"[[[10,12,28,44,46,47],[2,13,20,35,45,49],[1,3,8,24,37,40],[5,6,29,30,36,42],[9,16,17,25,27,41],[5,6,8,37,40,41],[2,13,18,35,47,49],[7,10,16,24,25,27],[12,19,20,21,23,45],[11,15,22,26,44,46]]]"
blocked_excluded,biglotto_ts3_markov_freq_5bet,NOT_EXECUTED_BY_DESIGN,EXCLUDED_BLOCKED,BLOCKED_LINEAGE_GAP,BLOCKED_NOT_COMPARABLE,UNKNOWN,0,0,0,excluded,False,True,False,False,partial evidence only; registered source identity not proven,Explicitly excluded by P358 lineage/readiness evidence.,
blocked_excluded,biglotto_ts3_acb_4bet,NOT_EXECUTED_BY_DESIGN,EXCLUDED_BLOCKED,BLOCKED_MISSING_SOURCE,BLOCKED_NOT_COMPARABLE,UNKNOWN,0,0,0,excluded,False,True,False,False,missing runnable source,Explicitly excluded by P358 lineage/readiness evidence.,
blocked_excluded,ts3_acb_4bet_biglotto,NOT_EXECUTED_BY_DESIGN,EXCLUDED_BLOCKED,BLOCKED_MISSING_SOURCE,BLOCKED_NOT_COMPARABLE,UNKNOWN,0,0,0,excluded,False,True,False,False,rejected/result artifact only; no callable source,Explicitly excluded by P358 lineage/readiness evidence.,
blocked_excluded,bet2_fourier_expansion_biglotto,NOT_EXECUTED_BY_DESIGN,EXCLUDED_BLOCKED,BLOCKED_ID_REUSE,BLOCKED_NOT_COMPARABLE,UNKNOWN,0,0,0,excluded,False,True,False,False,confirmed ID reuse split; do not replay under shared strategy_id,Explicitly excluded by P358 lineage/readiness evidence.,
