adapter_subset,subset_size,subset_is_full_cohort,p361_rank_within_subset_size,p361_best_subset_for_size,p361_period_count,p361_any_hit_count,p361_coverage_rate,p361_duplicate_hit_events,p361_mean_pairwise_jaccard,p362_windows_evaluated,p362_average_rank_by_coverage_rate,p362_rank_variance_by_coverage_rate,p362_top_1_window_count,p362_top_3_window_count,p362_within_3_hits_window_count,compact_candidate_row_types,compact_candidate_windows,p362_stability_note,caveat
adapt_predict_biglotto_echo_mixed_3bet,1,false,1,true,1619,104,0.06423718,0,,4,14.0000,67.5000,1,1,1,best_subset_for_size;smallest_within_1_hit_of_full_cohort;smallest_within_3_hit_of_full_cohort;best_subset_for_size;best_subset_for_size;best_subset_for_size,30;30;30;150;750;1500,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_3bet,1,false,2,false,1619,96,0.05929586,0,,4,16.5000,90.7500,0,1,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet,1,false,3,false,1619,73,0.04508956,0,,4,29.5000,2.2500,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet,1,false,4,false,1619,71,0.04385423,0,,4,28.0000,3.5000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_2bet,1,false,5,false,1619,67,0.04138357,0,,4,29.0000,3.5000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,false,1,true,1619,168,0.10376776,9,0.05357143,4,4.0000,5.0000,1,2,4,best_subset_for_size;p361_compact_pair_check;best_subset_for_size;p361_compact_pair_check;smallest_within_1_hit_of_full_cohort;smallest_within_3_hit_of_full_cohort;best_subset_for_size;p361_compact_pair_check;smallest_within_1_hit_of_full_cohort;smallest_within_3_hit_of_full_cohort;best_subset_for_size;p361_compact_pair_check;smallest_within_3_hit_of_full_cohort,30;30;150;150;150;150;750;750;750;750;1500;1500;1500,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,false,2,false,1619,159,0.09820877,10,0.06289308,4,6.5000,13.2500,0,1,3,,,Ranked across 4 windows; within 3 hits of full cohort in 3 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,2,false,3,false,1619,135,0.08338481,9,0.06666667,4,19.7500,39.6875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,2,false,4,false,1619,130,0.08029648,10,0.07692308,4,20.7500,39.6875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,2,false,5,false,1619,108,0.06670784,92,0.85185185,4,16.0000,4.5000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,false,6,false,1619,107,0.06609018,64,0.59813084,4,16.5000,33.2500,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,false,7,false,1619,104,0.06423718,71,0.68269231,4,16.0000,49.0000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,false,8,false,1619,103,0.06361952,64,0.62135922,4,17.7500,58.1875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,false,9,false,1619,96,0.05929586,67,0.69791667,4,19.7500,58.1875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,2,false,10,false,1619,74,0.04570723,64,0.86486486,4,29.7500,0.6875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,1,true,1619,171,0.10562075,102,0.32277212,4,6.2500,37.6875,2,2,4,best_subset_for_size;best_subset_for_size;smallest_within_1_hit_of_full_cohort,750;1500;1500,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,2,false,1619,170,0.10500309,74,0.24287512,4,7.0000,6.0000,0,0,4,,,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,3,false,1619,168,0.10376776,80,0.26764347,4,6.5000,5.2500,0,1,4,best_subset_for_size;best_subset_for_size,30;150,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,3,false,4,false,1619,166,0.10253243,74,0.25030632,4,8.2500,6.1875,0,0,3,,,Ranked across 4 windows; within 3 hits of full cohort in 3 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,3,false,5,false,1619,159,0.09820877,77,0.27924428,4,10.2500,6.1875,0,0,3,,,Ranked across 4 windows; within 3 hits of full cohort in 3 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,3,false,6,false,1619,137,0.08462014,74,0.33615154,4,21.2500,54.1875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,7,false,1619,108,0.06670784,159,0.71596645,4,19.5000,5.2500,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,8,false,1619,108,0.06670784,163,0.71863446,4,19.0000,3.5000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,3,false,9,false,1619,107,0.06609018,135,0.71522934,4,19.5000,11.2500,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,3,false,10,false,1619,103,0.06361952,131,0.72804692,4,22.0000,21.0000,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,4,false,1,true,1619,171,0.10562075,169,0.39021449,4,9.5000,64.2500,0,2,4,best_subset_for_size,1500,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,4,false,2,true,1619,171,0.10562075,173,0.38983909,4,9.0000,57.5000,0,2,4,best_subset_for_size,750,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,4,false,3,false,1619,170,0.10500309,145,0.39047486,4,9.7500,18.1875,0,0,4,best_subset_for_size;best_subset_for_size,30;150,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,4,false,4,false,1619,166,0.10253243,141,0.39843726,4,12.2500,12.1875,0,0,3,,,Ranked across 4 windows; within 3 hits of full cohort in 3 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,4,false,5,false,1619,108,0.06670784,230,0.71946929,4,21.2500,5.1875,0,0,1,,,Ranked across 4 windows; within 3 hits of full cohort in 1 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,5,true,1,true,1619,171,0.10562075,240,0.45768700,4,11.0000,67.0000,0,0,4,best_subset_for_size;best_subset_for_size;best_subset_for_size;best_subset_for_size,30;150;750;1500,Ranked across 4 windows; within 3 hits of full cohort in 4 window(s).,Subset card summarizes historical coverage only; no new scoring or recommendation.
